Years,Wii U,DS,Wii,Xbox 360,Playstation Vita,Playstation 3,PSP,3DS,Xbox Series X,Xbox One,Playstation 5,Playstation 4,Switch
2004,,2.86,,,,,0.47,,,,,,
2005,,10.99,,1.18,,,9.61,,,,,,
2006,,20.76,2.96,6.81,,1.25,9.49,,,,,,
2007,,29.31,16.55,7.91,,7.92,12.81,,,,,,
2008,,29.47,24.09,11.16,,10.46,14.05,,,,,,
2009,,27.28,21.05,10.36,,13.26,9.92,,,,,,
2010,,20.55,17.26,13.54,,13.83,9.15,,,,,,
2011,,8.76,11.49,13.95,0.48,14.42,7.52,12.48,,,,,
2012,2.16,3.08,5.11,10.69,3.6,11.97,4.24,13.28,,,,,
2013,3.07,0.96,2.04,6.24,3.36,8.26,2.98,13.95,,3.06,,4.46,
2014,3.46,,0.79,2.54,2.66,3.44,0.57,8.88,,7.23,,13.73,
2015,3.58,,0.3,0.99,2.76,1.72,,7.83,,8.39,,17.74,
2016,1.16,,,0.39,2,0.67,,7.3,,7.98,,17.79,
2017,0.13,,,0.06,0.78,0.2,,6.64,,7.64,,19.81,13.12
2018,,,,,0.23,,,3.54,,6.83,,18.28,16.34
2019,,,,,0.03,,,1.55,,4.97,,14.27,19.28
2020,,,,,,,,0.46,3.03,3.15,4.39,8.6,28.3